addressinfo,county,enforcement_action,enforcement_action_no,enforcement_action_issued,case_closed,media,program,upload_id,city,state,zip,ai_combined
3501 Asiatic Ave,Baltimore City,"Complaint, Order, Penalty",COP-16-2405,2016-06-08T00:00:00.000,2022-03-15T00:00:00.000,Surface Water Discharge Permit,Municipal Major,,Curtis Bay,MD,21226,3076 - Patapsco WWTP
7400 Brooklyn Bridge Road,Prince George's,Penalty Settlement,10SF0247,2015-02-24T00:00:00.000,2015-03-24T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Laurel,MD,20707,85056 - WSSC Rocky Gorge WPS
20498 Riverview Dr,St. Mary's,,,2018-06-22T00:00:00.000,2019-01-10T00:00:00.000,Tidal Wetlands,,,Coltons Point,MD,20626,152916 - 20498 Riverview Dr
1 Rolling Crossroads,Baltimore,Settlement Agreement,,2020-07-13T00:00:00.000,2020-08-06T00:00:00.000,Not Assigned,,,Catonsville,MD,21228,148727 - Catonsville District Courthouse (under Costello Construction)
"25840 Rumbley Rd, Rumbley Workboat Harbor",Somerset,,,,2016-03-31T00:00:00.000,Not Assigned,,,Rumbley,MD,21871,"66826 - Matthew Hungerford Property, 25840 Rumbley Rd., Somerset Co."
East bank of the Anacostia River,Prince George's,Penalty Settlement,PS-15-2237,2015-04-02T00:00:00.000,2015-04-15T00:00:00.000,Tidal Wetlands,,,Cheverly,MD,20781,"138224 - MNCPPC-Anacostia Riverwalk, Kenilworth Section"
7310 Westwood Drive,Frederick,Settlement Agreement,SAP-13-1817,2012-12-13T00:00:00.000,2012-12-13T00:00:00.000,Sediment;Waterway Construction,,,Frederick,MD,21701,132293 - Douglas Tavenner Property
Linthicum Dr and University Ave,Baltimore,Penalty Settlement,PS-13-1809,2012-12-06T00:00:00.000,2012-12-06T00:00:00.000,Sediment,,,Towson,MD,21204,138394 - TU Campus Utility improvement Linthicum Dr
"3466 North Carolina Ave, 316 CES/CEV",Prince George's,Penalty Settlement,SAP-13-1753,2012-09-14T00:00:00.000,2012-11-02T00:00:00.000,Sediment,,,Andrews Airforce Base,MD,20762,1768 - Andrews Air Force Base
800 Tydings Lane,Harford,Stipulated Penalty,SP-22-2789,2022-05-02T00:00:00.000,2022-05-20T00:00:00.000,Groundwater Discharge Permit,Municipal Minor,,Havre De Grace,MD,21078,503 - Father Martin's Ashley
Rolling Oaks Subdivision,Allegany,Settlement Agreement,SAP-13-1863,2013-02-28T00:00:00.000,2013-07-18T00:00:00.000,Notice of Intent;Sediment;Stormwater Management,Notice of Intent (Construction),,Ellerslie,MD,21529,136349 - Rolling Oaks Subdivision
Rockenbach Road,Anne Arundel,Penalty Settlement,C-15-2190,2014-12-15T00:00:00.000,2015-01-14T00:00:00.000,Sediment,,,Fort George G. Meade,MD,20755,"140140 - US NSA-Ft Meade, Building 1"
Tottenham Drive,Charles,Penalty Settlement,C-17-2448,2017-03-24T00:00:00.000,2017-04-26T00:00:00.000,Sediment,,,White Plains,MD,20695,"127463 - K and P Builders-Kingsview Subdivision, Sec 6B"
14852 Old Gunpowder Road,Prince George's,Penalty Settlement,PS-14-2038,2013-12-11T00:00:00.000,2013-12-31T00:00:00.000,Sediment;Surface Water Discharge Permit,Industrial Minor,,Laurel,MD,20707,"20249 - Laney Materials, LLC dba Laney Recycling and Aggregates"
21955 Newtown Rd,St. Mary's,,,,2012-04-29T00:00:00.000,Not Assigned,,,Leonardtown,MD,20650,129269 - Ellis Shortt
4774 Bill Moxley Rd,Frederick,Consent Order,CO-15-2121,2014-09-25T00:00:00.000,2016-11-09T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Mount Airy,MD,21771,22946 - Mill Bottom WWTP
116 W Beech Street,Cecil,Consent Decree,Eastern,2019-05-22T00:00:00.000,2020-02-25T00:00:00.000,Tidal Wetlands,,,North East,MD,21901,148233 - John & Charlene Wilczynski
Liberty Grove Rd.,Cecil,Penalty Settlement,,2012-05-29T00:00:00.000,2012-08-27T00:00:00.000,Sediment;Surface Water Discharge Unauthorized,Notice of Intent (Construction),,Colora,MD,21917,131977 - Murphy's Run Phase I
29056 Three Notch Rd,St. Mary's,Consent Order,SAP-13-1726,2012-08-08T00:00:00.000,2012-08-08T00:00:00.000,Sediment,,,Mechanicsville,MD,20659,"31846 - C. A. Bean, Inc. - Mechanicsville"
3000 Vera St,Baltimore City,Stipulated Penalty,SP-20-2646,2020-06-26T00:00:00.000,2024-10-02T00:00:00.000,Stormwater Management,Industrial Stormwater,,Curtis Bay,MD,21226,"23058 - Sims ARG, Inc. - Vera Street"
Silver Hill Rd and Maywood La,Prince George's,Penalty Settlement,C-14-2060,2014-03-06T00:00:00.000,2014-03-27T00:00:00.000,Sediment,,,Suitland,MD,20746,141937 - Maywood Lane WSSC pumping operation
300 Garrison Forest Road,Baltimore,Penalty Settlement,Julie Gowe,2014-11-05T00:00:00.000,2014-11-05T00:00:00.000,Surface Water Discharge Unauthorized,,,Owings Mills,MD,21117,137753 - Garrison Forest School
MELSON RD,Wicomico,Required Confirmation,Patrick Noyes,,2016-11-02T00:00:00.000,Not Applicable,,,Delmar,MD,21875,74039 - Tucker Homes Llc/prev. Terra Firma Llc.
72 Ikea Way,Cecil,Penalty Settlement,"Bull, Kevin",2014-11-13T00:00:00.000,2014-12-01T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Perryville,MD,21903,20024 - Perryville WWTP
"25840 Rumbley Rd, Rumbley Workboat Harbor",Somerset,,,,2016-03-31T00:00:00.000,Not Assigned,,,Rumbley,MD,21871,"66826 - Matthew Hungerford Property, 25840 Rumbley Rd., Somerset Co."
Monta Vista Rd. and Rt.219 South,Garrett,"Complaint, Order, Penalty",Joe Bieberich,2016-11-09T00:00:00.000,2017-03-24T00:00:00.000,Non-Tidal Wetlands;Sediment;Waterway Construction,Notice of Intent (Construction),,Oakland,MD,21550,144277 - John Sines
Omega Road,Washington,Penalty Settlement,PS-13-1774,2012-10-03T00:00:00.000,2013-10-23T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Hagerstown,MD,21740,138157 - Light Business Park - Omega Rd Hagerstown
23209 Gilpin Point Rd,Caroline,,,2019-11-07T00:00:00.000,2020-11-17T00:00:00.000,Tidal Wetlands,,,Preston,MD,21655,126430 - Darryl Ritter
Nave's Crossroads,Allegany,Complaint & Penalty,AP-16-2287,2015-07-22T00:00:00.000,2016-03-29T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Cumberland,MD,21502,144601 - Dollar General Nave's Crossroads
1200 White Sands,Calvert,Stipulated Penalty,Patrick Noyes,2018-12-28T00:00:00.000,2019-03-20T00:00:00.000,Groundwater Discharge Permit;Surface Water Discharge Permit;Tidal Wetlands,Industrial Minor,,Lusby,MD,20657,64297 - Vera's Beach Club
7800 Kabik Ct.,Carroll,Settlement Agreement,SA-18-2480,2017-07-17T00:00:00.000,2022-05-13T00:00:00.000,Surface Water Discharge Permit,Industrial Minor,,Woodbine,MD,21797,"75852 - WeCare Denali, LLC"
712 E Shore Rd,Anne Arundel,Penalty Settlement,PS-14-2020,2013-10-04T00:00:00.000,2013-12-20T00:00:00.000,Sediment;Tidal Wetlands,,,Pasadena,MD,21122,140826 - 712 E Shore Rd
near MD Rte 313 & MD Rte 480,Caroline,Consent Order,CA-17-2428,2017-01-17T00:00:00.000,2020-02-25T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Greensboro,MD,21639,103186 - Greensboro Regional WWTP
39.0937585 -76.7645354,Anne Arundel,Penalty Settlement,,2014-12-15T00:00:00.000,2015-01-09T00:00:00.000,Non-Tidal Wetlands;Sediment,,,Fort George G. Meade,MD,20755,141989 - BGE Tipton Terminal Station
5900 Sheriff Road,Prince George's,Penalty Settlement,Patrick Noyes,2018-12-18T00:00:00.000,2019-01-10T00:00:00.000,Surface Water Discharge Permit,Industrial Minor,,Capitol Heights,MD,20743,"29004 - Aggregate & Dirt Solutions, LLC"
2112 Montevideo Road,Anne Arundel,Penalty Settlement,Arno Laud,2015-09-04T00:00:00.000,2015-09-23T00:00:00.000,Surface Water Discharge Unauthorized,Industrial Stormwater,,Jessup,MD,20794,3209 - William T. Burnett and Company
between 144 and 70 ramp,Frederick,Penalty Settlement,Joe Bieberich,2016-03-21T00:00:00.000,2016-04-21T00:00:00.000,Non-Tidal Wetlands;Notice of Intent;Sediment,Notice of Intent (Construction),,New Market,MD,21774,150851 - Potomac Edison New Market
Meadowlark Ave,Washington,Penalty Settlement,PS-14-2044,2013-12-23T00:00:00.000,2014-01-17T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Hagerstown,MD,21742,141358 - Meadowlark Ave/Bluebird Ave
County Wide Sewerage System,Baltimore,Information Request,1:05-cv-02028-AMD,2023-08-31T00:00:00.000,2024-10-02T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1631042'},County-wide,MD,0,31394 - Baltimore County Sanitary Sewer Overflows
12032 Neale Sound Dr,Charles,Penalty Settlement,PS-12-1705,2012-08-09T00:00:00.000,2012-08-09T00:00:00.000,Tidal Wetlands,,,Cobb Island,MD,20625,68575 - Robert Peterson
11815 Hilltop Rd,Calvert,Penalty Settlement,,2012-07-12T00:00:00.000,2012-07-12T00:00:00.000,Tidal Wetlands,,,Lusby,MD,20657,113147 - Doug & Daureen Pepiot
16300 Old Emmitsburg Rd,Frederick,Consent Order,COP-15-2244,2015-04-27T00:00:00.000,2016-07-13T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Emmitsburg,MD,21727,9164 - Mount Saint Mary's University
186 and 188 W. Lake Drive,Anne Arundel,Settlement Agreement,SAP-13-1839,2013-01-28T00:00:00.000,2014-07-14T00:00:00.000,Tidal Wetlands,,,Annapolis,MD,21403,68563 - William Steffey and Joseph Van Nest Steffey property
5731 Oakland Rd,Baltimore,Amended Consent Order,CO-18-2535,2018-05-31T00:00:00.000,2019-01-09T00:00:00.000,Surface Water Discharge Permit,,,Baltimore,MD,21227,22525 - Wynnewood Recreation Center
"25840 Rumbley Rd, Rumbley Workboat Harbor",Somerset,,,,2016-03-31T00:00:00.000,Not Assigned,,,Rumbley,MD,21871,"66826 - Matthew Hungerford Property, 25840 Rumbley Rd., Somerset Co."
"8809 Court House Hill Rd, Somerset County",Somerset,,,,2018-05-30T00:00:00.000,Not Assigned,,,Pocomoke City,MD,21851,68337 - Roy McIntyre Farm
15650 Leeland Road,Prince George's,Penalty Settlement,C-15-2189,2014-12-16T00:00:00.000,2015-01-20T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Upper Marlboro,MD,20772,136708 - WSSC-Collington Elevate Water Storage Facility
2757 Augustine Herman Hwy,Cecil,Amended Consent Order,CO-12-1545,2013-01-25T00:00:00.000,2014-01-09T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Chesapeake City,MD,21915,18299 - Bohemia Manor High School WWTP
29643 Kingston Lane,Somerset,Settlement Agreement,SAP-13-1935,2013-05-21T00:00:00.000,2013-05-21T00:00:00.000,Groundwater Discharge Unauthorized,Industrial Minor,,Westover,MD,21871,76935 - Kuzzens Packing
5792 Virginia Ave,Prince George's,Settlement Agreement,Linda Eisgruber,2015-02-19T00:00:00.000,2015-03-02T00:00:00.000,Sediment;Surface Water Discharge Unauthorized,,,Oxon Hill,MD,20745,140577 - Oxon Hill Village SSO
Beach Rd (Community Property),Anne Arundel,"Complaint, Order, Penalty",PS-11-1353,2012-05-15T00:00:00.000,2013-05-23T00:00:00.000,Tidal Wetlands,,,Sherwood Forest,MD,21405,132742 - Sherwood Forest Club Inc - Beach Rd
Wildewood Pkwy,St. Mary's,Penalty Settlement,C-14-2029,2013-11-08T00:00:00.000,2016-07-13T00:00:00.000,Sediment,,,California,MD,20619,65753 - WILDEWOOD RETIREMENT VILLAGE
"Melson Rd, East of the intersection of Rum Ridge Road",Wicomico,Penalty Settlement,Kevin Bull,2015-04-17T00:00:00.000,2015-05-07T00:00:00.000,Non-Tidal Wetlands,,,Delmar,MD,21875,"143022 - Oliver Property, Ditch and Road through forested area"
1001 Carroll Island Rd,Baltimore,Penalty Settlement,"Bull, Kevin",2015-08-26T00:00:00.000,2015-09-23T00:00:00.000,Surface Water Discharge Unauthorized,Industrial Major,,Middle River,MD,21220,4116 - C P Crane Generating Station
1200 White Sands,Calvert,Information Request,CJ-20-2604,2023-09-14T00:00:00.000,2024-09-13T00:00:00.000,Tidal Wetlands,,,Lusby,MD,20657,64297 - Vera's Beach Club
8305 Telegraph Rd,Anne Arundel,Penalty Settlement,PS-12-1795,2012-11-05T00:00:00.000,2012-12-17T00:00:00.000,Non-Tidal Wetlands,Notice of Intent (Construction),,Odenton,MD,21113,133259 - S/C Odenton III LLC-Odenton Nevamar
4707 Church Road,Prince George's,,,,2024-09-20T00:00:00.000,Not Assigned,,,Bowie,MD,20720,131371 - Stream Filling Collington trib
2818 Solomons Island Rd,Anne Arundel,Settlement Agreement,SA-15-2234,2015-03-31T00:00:00.000,2015-05-06T00:00:00.000,Sediment;Tidal Wetlands,,,Edgewater,MD,21037,138308 - Annapolis Harbor South LLC
County Wide Sewerage System,Baltimore,Stipulated Penalty,SP-19-2546,2018-07-31T00:00:00.000,2018-10-23T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31394 - Baltimore County Sanitary Sewer Overflows
3201 Oak Hill Drive,Anne Arundel,Penalty Settlement,C-17-2457,2017-04-11T00:00:00.000,2017-06-02T00:00:00.000,Sediment;Waterway Construction,,,Laurel,MD,20724,153107 - DC General Services / 3201 Oak Hill Drive
Old Orchard Rd,Allegany,,,,2024-09-10T00:00:00.000,Not Assigned,,,Cresaptown,MD,21502,64045 - Bernard Weitzell FHO
23750 Larney Nick Rd,Kent,Consent Order,CO-15-2277,2015-06-24T00:00:00.000,2016-06-27T00:00:00.000,Surface Water Discharge Permit,Industrial Minor,,Chestertown,MD,21620,4162 - J Lawrence Nicholson Landfill
2500 Conowingo Road,Cecil,Stipulated Penalty,Julie Gowe,2014-07-22T00:00:00.000,2015-02-10T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Rising Sun,MD,21911,23650 - Rising Sun WWTP
Edgewood Area-Aberdeen Proving Ground,Harford,Offer to Settle,,2021-07-20T00:00:00.000,2022-02-10T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Aberdeen Proving Ground,MD,21010,20603 - APG-Edgewood Area
Sewerage Systems in Montgomery & Prince George's Counties,Statewide,Required Confirmation,Lenn Roberts,2020-09-01T00:00:00.000,2020-11-04T00:00:00.000,Surface Water Discharge Unauthorized;Surface Water Discharge Unauthorized,Collection System (SSO),,PG & Montgolery Counties,MD,0,31417 - Washington Suburban Sanitary Commission Sanitary Sewer Overflows
Rte 5 at Winters Lane,St. Mary's,Information Request,AOP-17-2427,2024-04-23T00:00:00.000,2024-09-13T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1971134'},Leonardtown,MD,20650,19080 - Winters Apartments WWTP
"Irishtown Limited Partnership, Pintail Point Farm Lane",Queen Anne's,Stipulated Penalty,,2012-05-04T00:00:00.000,2014-08-18T00:00:00.000,Non-Tidal Wetlands;Notice of Intent;Sediment,,,Queenstown,MD,21658,64534 - Irishtown
11780 Mill Bridge Rd,Calvert,,,,2015-06-25T00:00:00.000,Not Applicable,,,Lusby,MD,20657,132279 - 11780 Mill Bridge Rd
870 Costley Way,Calvert,Required Confirmation,Jess Herpel,2020-02-13T00:00:00.000,,Surface Water Discharge Unauthorized,,,Prince Frederick,MD,20678,163987 - Five Guys
101 Linden Avenue,Dorchester,Penalty Settlement,Arno laud,2016-01-05T00:00:00.000,2016-01-28T00:00:00.000,Surface Water Discharge Unauthorized,Municipal Minor,,Secretary,MD,21664,144272 - Jamie Harrington Property/Secretary
100 Treatment Plant Road,Frederick,Penalty Settlement,"Bul, Kevin",2015-03-24T00:00:00.000,2015-03-24T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Frederick,MD,21701,21119 - Frederick City WWTP
10125 Ward Rd.,Calvert,Penalty Settlement,C-14-2111,2014-06-30T00:00:00.000,2014-07-15T00:00:00.000,Sediment,,,Dunkirk,MD,20754,64792 - Shoppes at Apple Green
31912 Dublin Rd,Somerset,Settlement Agreement,Patrick Noyes,2018-11-08T00:00:00.000,2018-11-21T00:00:00.000,Non-Tidal Wetlands;Sediment;Surface Water Discharge Permit,Notice of Intent (Construction),,Princess Anne,MD,21853,155449 - Solar Photovoltaic Power Plant Site #6
City Hall,Carroll,Penalty Settlement,,2013-01-13T00:00:00.000,2013-02-15T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Westminster,MD,21157,1872 - Westminster City Of
30503 E Line Rd,Wicomico,Penalty Settlement,C-15-2262,2015-05-13T00:00:00.000,2015-06-09T00:00:00.000,Sediment,,,Delmar,MD,21801,64398 - Heron Ponds
22260 Capitola Rd,Wicomico,Penalty Settlement,SA-13-1815,2012-12-11T00:00:00.000,2013-03-26T00:00:00.000,Non-Tidal Wetlands;Sediment,,,Tyaskin,MD,21865,130284 - American Tower Corp/Bivalve Site
1728 Disney Rd,Anne Arundel,Penalty Settlement,PS-16-2299,2015-08-06T00:00:00.000,2015-09-16T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Severn,MD,21144,130987 - Turnbury Run
Eagle Rock Road Windmill,Garrett,Penalty Settlement,C-16-2356,2015-12-30T00:00:00.000,2016-01-19T00:00:00.000,Sediment,,,Oakland,MD,21550,149340 - Frank Harvey Ruts and Holes
1091 Marlboro Rd,Anne Arundel,Settlement Agreement,Eisgruber,2010-11-15T00:00:00.000,2010-11-15T00:00:00.000,Surface Water Discharge Permit,Municipal Minor,,Lothian,MD,20711,21831 - Boone's Mobile Estates WWTP
"end of Oak Crest ln, Oak Crest PUD",St. Mary's,Penalty Settlement,C-16-2387,2016-04-01T00:00:00.000,2016-06-07T00:00:00.000,Notice of Intent;Sediment,Notice of Intent (Construction),,Hollywood,MD,20636,150960 - End of Oak Crest ln Oak Crest PUD
5757 Shookstown Road,Frederick,Penalty Settlement,CO-13-1952,2013-06-27T00:00:00.000,2013-08-12T00:00:00.000,Surface Water Discharge Unauthorized,,,Frederick,MD,21701,140650 - Howard and Dolores Ruskie
12793 Folly Quarter Rd,Howard,Complaint & Order,AOP-18-2530,2018-05-14T00:00:00.000,2018-06-04T00:00:00.000,Groundwater Discharge Permit,Municipal Minor,,Ellicott City,MD,21042,19730 - Glenelg Country School
north Main St. & Anderson Ave.,Kent,Penalty Settlement,"Bull, Kevin",2014-08-12T00:00:00.000,2014-09-12T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Rock Hall,MD,21661,23567 - Rock Hall WWTP
Sewerage Systems in Montgomery & Prince George's Counties,Statewide,Stipulated Penalty,SP-24-2984,2024-04-08T00:00:00.000,2024-09-12T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1631303'},PG & Montgolery Counties,MD,0,31417 - Washington Suburban Sanitary Commission Sanitary Sewer Overflows
100 Treatment Plant Road,Frederick,Required Confirmation,Lenn Roberts,2019-06-06T00:00:00.000,2020-04-20T00:00:00.000,Not Assigned,,,Frederick,MD,21701,21119 - Frederick City WWTP
"10546 Harp Rd, Pank Farm LLC",Frederick,Consent Order,AP-16-2368,2015-12-11T00:00:00.000,2016-07-05T00:00:00.000,Notice of Intent;Sediment;Surface Water Discharge Unauthorized,Industrial Stormwater,,Walkersville,MD,21793,145415 - Pank Property
2016 Brigadier Blvd.,Anne Arundel,Penalty Settlement,C-16-2308,2015-09-03T00:00:00.000,2015-10-01T00:00:00.000,Sediment,,,Odenton,MD,21113,148051 - 2016 Brigadier Blvd.
104 7th Street,Somerset,Penalty Settlement,Patrick Noyes,2019-09-23T00:00:00.000,2019-10-11T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Crisfield,MD,21817,19497 - Crisfield WWTP
10200 to 10400 Sweepstakes Road,Montgomery,Penalty Settlement,C-12-1639,2012-04-09T00:00:00.000,2012-06-19T00:00:00.000,Sediment;Waterway Construction,,,Damascus,MD,20872,136778 - MO DOT-Sweepstakes Road
1701 Leland Ave,Baltimore,Settlement Agreement,Julie Gowe,2014-07-18T00:00:00.000,2014-08-17T00:00:00.000,Surface Water Discharge Unauthorized,,,Middle River,MD,21220,"35508 - Safeway Moving and Storage, Inc"
"Laurel Fort Meade Rd, 39.093387,-76.783862",Anne Arundel,Penalty Settlement,C-19-2550,2018-09-19T00:00:00.000,2018-10-01T00:00:00.000,Non-Tidal Wetlands;Sediment,,,Laurel,MD,20724,149146 - BGE Russett Switching Station to Tipton Substation
County Wide Sewerage System,Charles,Penalty Settlement,SP-13-1910,2013-05-15T00:00:00.000,2013-05-16T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31398 - Charles County Sanitary Sewer Overflows
312 Maple Ave,Worcester,Penalty Settlement,Patrick Noyes,2017-05-09T00:00:00.000,2017-06-21T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Berlin,MD,21811,140293 - Wolfe Terrace Apartments
200 W Pulaski Hwy,Cecil,Penalty Settlement,PS-15-2178,2014-11-14T00:00:00.000,2015-01-16T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Elkton,MD,21921,1974 - Elkton WWTP
2822 Morrison Avenue,Anne Arundel,Penalty Settlement,C-15-2180,2014-12-10T00:00:00.000,2015-01-13T00:00:00.000,Sediment,,,Fort George G. Meade,MD,20755,137095 - Fort Meade
5200 Glen Arm Road,Baltimore,Stipulated Penalty,SP-13-1896,2013-04-12T00:00:00.000,2013-05-11T00:00:00.000,Surface Water Discharge Permit,Industrial Minor,,Glen Arm,MD,21057,134795 - United Container Acquisition Building Business Trust
County Wide Sewerage System,Worcester,Settlement Agreement,Patrick Noyes,2016-08-23T00:00:00.000,2016-09-07T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31416 - Worcester County Sanitary Sewer Overflows
104 7th Street,Somerset,Penalty Settlement,Patrick Noyes,2016-03-01T00:00:00.000,2016-03-23T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,Crisfield,MD,21817,19497 - Crisfield WWTP
13514 Greensboro Rd (rte 313),Caroline,Offer to Settle,,2011-12-12T00:00:00.000,2012-07-12T00:00:00.000,Surface Water Discharge Permit,,,Greensboro,MD,21639,23659 - Greensboro WWTP
County Wide Sewerage System,Allegany,Stipulated Penalty,SP-21-2721,2020-12-31T00:00:00.000,2024-09-12T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),{'url': 'https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1596837'},County-wide,MD,0,31405 - Allegany County Sanitary Sewer Overflows
County Wide Sewerage System,Cecil,Penalty Settlement,"Bull, Kevin",2013-05-15T00:00:00.000,2013-07-02T00:00:00.000,Surface Water Discharge Unauthorized,Collection System (SSO),,County-wide,MD,0,31407 - Cecil County Sanitary Sewer Overflows
"southeast corner  Ander St & Towson St, Locust Point",Baltimore City,Penalty Settlement,PS-15-2114,2014-05-06T00:00:00.000,2014-07-30T00:00:00.000,Surface Water Discharge Unauthorized,Industrial Minor,,Baltimore City,MD,21230,138824 - Baltimore City Infrastructure Rehabilitation - Locust Point
Miss Etta's Way,St. Mary's,Penalty Settlement,PS-15-4425,2015-04-13T00:00:00.000,2015-06-01T00:00:00.000,Notice of Intent,Notice of Intent (Construction),,Leonardtown,MD,20650,144724 - Nelson's Run SWM Revisions Lots 1-3
